Name,RAM,ROM,Sold Quantity,Rating
vivo T2x 5G,8,128,19932,4.3
vivo T2x 5G,6,128,80632,4.4
SAMSUNG Galaxy F23 5G,6,128,201686,4.3
SAMSUNG Galaxy F23 5G,6,128,201686,4.3
POCO M4 5G,4,64,87539,4.2
POCO M4 5G,6,128,44319,4.2
POCO M4 5G,6,128,44319,4.2
vivo T2 5G,6,128,38300,4.4
POCO X5 5G,6,128,11985,4.1
POCO M4 5G,4,64,87539,4.2
SAMSUNG Galaxy F23 5G,6,128,201686,4.3
POCO M4 5G,4,64,87539,4.2
APPLE iPhone 13,0,128,241274,4.7
POCO X5 Pro 5G,8,256,10705,4.3
POCO X5 5G,8,256,4244,4.1
APPLE iPhone 13,0,128,241274,4.7
realme 10 Pro 5G,8,128,24229,4.3
realme 10 Pro 5G,6,128,31947,4.3
realme 10 Pro 5G,8,128,24229,4.3
SAMSUNG Galaxy F14 5G,4,128,9286,4.2
Google Pixel 6a,6,128,53860,4.3
Google Pixel 6a,6,128,53860,4.3
SAMSUNG Galaxy F14 5G,6,128,24463,4.2
APPLE iPhone 14,0,128,42787,4.6
